Security,TRDEBYc1,TRDEBYc1,TRDEBYc1,TRDEBYc1,TRDEBYc1,TRDEBYc1,TRNLTTFYc1,TRNLTTFYc1,TRNLTTFYc1,TRNLTTFYc1,TRNLTTFYc1,TRNLTTFYc1,LCOc1,LCOc1,LCOc1,LCOc1,LCOc1,LCOc1,CLc1,CLc1,CLc1,CLc1,CLc1,CLc1,CFI2Zc1,CFI2Zc1,CFI2Zc1,CFI2Zc1,CFI2Zc1,CFI2Zc1
Field,HIGH,LOW,OPEN,CLOSE,VOLUME,COUNT,HIGH,LOW,OPEN,CLOSE,VOLUME,COUNT,HIGH,LOW,OPEN,CLOSE,VOLUME,COUNT,HIGH,LOW,OPEN,CLOSE,VOLUME,COUNT,HIGH,LOW,OPEN,CLOSE,VOLUME,COUNT
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-07-10,,,,,,,,,,,,,,,,,,,60.53,58.35,58.4,60.43,690656.0,-1.0,,,,,,
2019-07-11,,,,,,,,,,,,,,,,,,,60.94,60.14,60.44,60.2,573019.0,-1.0,,,,,,
2019-07-12,,,,,,,19.95,19.38,19.5,19.95,-1.0,,,,,,,,60.74,59.93,60.46,60.21,469029.0,-1.0,,,,,,
2019-07-15,,,,,,,20.15,19.35,20.15,19.35,-1.0,,,,,,,,60.92,59.2,60.25,59.58,566818.0,-1.0,,,,,,
2019-07-16,,,,,,,19.15,18.58,19.15,18.58,-1.0,,,,,,,,60.06,57.07,59.26,57.62,712540.0,-1.0,,,,,,
2019-07-17,,,,,,,18.7,18.25,18.3,18.67,-1.0,,,,,,,,58.36,56.21,57.52,56.78,504432.0,-1.0,,,,,,
2019-07-18,,,,,,,18.67,18.48,18.55,18.55,-1.0,,,,,,,,57.32,54.72,56.6,55.3,215361.0,-1.0,,,,,,
2019-07-19,,,,,,,18.85,18.65,18.7,18.65,-1.0,,,,,,,,56.36,54.99,55.72,55.63,105217.0,-1.0,,,,,,
2019-07-22,,,,,,,19.05,18.52,18.9,18.55,-1.0,,,,,,,,56.84,55.72,56.22,56.22,24302.0,-1.0,,,,,,
2019-07-23,53.25,53.25,51.9,52.15,-1.0,,18.77,18.63,18.63,18.75,-1.0,,,,,,,,57.47,55.74,56.17,56.77,521876.0,-1.0,,,,,,
2019-07-24,53.5,52.05,52.0,53.2,-1.0,,18.6,18.5,18.58,18.52,-1.0,,,,,,,,57.64,55.33,57.23,55.88,745248.0,-1.0,,,,,,
2019-07-25,52.8,52.2,52.0,52.0,-1.0,,18.7,18.52,18.7,18.53,-1.0,,,,,,,,56.99,55.81,55.9,56.02,559282.0,-1.0,,,,,,
2019-07-26,52.1,51.5,51.3,52.1,-1.0,,18.53,18.4,18.45,18.42,-1.0,,,,,,,,56.57,55.68,55.93,56.2,476785.0,-1.0,29.2,28.07,28.97,28.29,19547.0,-1.0
2019-07-29,52.2,51.1,51.05,51.05,-1.0,,18.45,18.15,18.45,18.2,-1.0,,63.9,62.92,63.32,63.71,101701.0,-1.0,57.1,55.81,56.2,56.87,529742.0,-1.0,29.28,28.15,28.27,28.42,19079.0,-1.0
2019-07-30,51.15,50.65,50.45,50.85,-1.0,,18.15,18.02,18.02,18.05,-1.0,,65.14,63.9,63.91,64.72,86101.0,-1.0,58.47,56.96,57.07,58.05,547401.0,-1.0,28.61,27.8,28.4,27.9,22808.0,-1.0
2019-07-31,51.2,50.65,50.65,50.7,-1.0,,18.5,18.23,18.38,18.23,-1.0,,65.42,64.95,64.95,65.17,18763.0,-1.0,58.82,57.81,58.34,58.58,614001.0,-1.0,28.37,27.69,27.8,27.98,20795.0,-1.0
2019-08-01,52.5,52.45,50.75,50.75,-1.0,,18.7,18.3,18.3,18.67,-1.0,,64.54,60.02,64.09,60.5,433719.0,-1.0,57.99,53.59,57.85,53.95,886748.0,-1.0,29.49,27.88,28.06,29.45,17804.0,-1.0
2019-08-02,52.5,51.8,51.55,52.4,-1.0,,18.4,18.05,18.4,18.1,-1.0,,62.95,60.98,61.16,61.89,364137.0,-1.0,56.05,54.15,54.54,55.66,739810.0,-1.0,29.46,28.93,29.37,29.26,15342.0,-1.0
2019-08-05,51.65,50.7,50.55,51.65,-1.0,,17.95,17.8,17.88,17.85,-1.0,,61.56,59.66,61.46,59.81,378858.0,-1.0,55.61,54.22,55.38,54.69,823844.0,-1.0,29.35,28.51,29.17,28.7,13311.0,-1.0
2019-08-06,50.75,50.05,50.05,50.6,-1.0,,17.78,17.65,17.75,17.65,-1.0,,60.56,58.55,59.56,58.94,328149.0,-1.0,55.42,53.29,54.95,53.63,682794.0,-1.0,28.95,28.24,28.58,28.41,14653.0,-1.0
2019-08-07,50.7,49.95,49.3,50.0,-1.0,,17.8,17.52,17.8,17.6,-1.0,,59.23,55.88,58.68,56.23,485190.0,-1.0,53.77,50.52,53.42,51.09,1063214.0,-1.0,28.86,27.76,28.47,28.28,18486.0,-1.0
2019-08-08,50.65,50.3,49.75,50.2,-1.0,,17.7,17.42,17.48,17.7,-1.0,,58.01,56.77,57.48,57.38,299685.0,-1.0,53.06,51.94,52.33,52.54,724762.0,-1.0,28.74,27.91,28.35,28.53,17925.0,-1.0
2019-08-09,50.7,49.9,49.7,50.65,-1.0,,17.67,17.48,17.67,17.5,-1.0,,59.1,57.11,57.74,58.53,281803.0,-1.0,54.92,52.37,52.88,54.5,726386.0,-1.0,28.79,27.92,28.54,28.12,16421.0,-1.0
2019-08-12,49.95,48.9,48.75,49.85,-1.0,,17.55,17.33,17.55,17.33,-1.0,,58.88,57.88,58.3,58.57,221349.0,-1.0,55.18,53.54,54.32,54.93,611027.0,-1.0,28.27,26.66,28.08,26.7,26946.0,-1.0
2019-08-13,49.25,49.15,48.47,48.6,-1.0,,17.7,17.43,17.48,17.48,-1.0,,61.5,58.0,58.47,61.3,338076.0,-1.0,57.47,54.21,54.73,57.1,783486.0,-1.0,27.29,26.19,26.67,27.1,22549.0,-1.0
2019-08-14,49.35,48.75,48.55,49.0,-1.0,,17.67,17.48,17.65,17.5,-1.0,,61.08,58.21,61.07,59.48,320431.0,-1.0,56.85,53.97,56.74,55.23,718293.0,-1.0,27.5,26.36,27.1,26.91,23126.0,-1.0
2019-08-15,49.0,48.15,48.15,48.8,-1.0,,17.45,17.33,17.45,17.33,-1.0,,59.42,57.67,59.07,58.23,298674.0,-1.0,55.33,53.77,54.9,54.47,527866.0,-1.0,27.25,25.89,26.87,25.98,27944.0,-1.0
2019-08-16,48.4,48.0,48.0,48.25,-1.0,,17.48,17.35,17.48,17.35,-1.0,,59.5,58.28,58.41,58.64,209433.0,-1.0,55.67,54.26,54.74,54.87,168345.0,-1.0,26.5,25.87,26.0,25.96,18538.0,-1.0
2019-08-19,48.6,48.5,47.85,48.0,-1.0,,17.3,17.17,17.2,17.17,-1.0,,59.92,58.64,58.72,59.74,211453.0,-1.0,56.41,54.84,54.96,56.21,113571.0,-1.0,26.78,25.92,25.96,26.56,17105.0,-1.0
2019-08-20,48.95,48.1,48.1,48.7,-1.0,,17.35,17.2,17.2,17.3,-1.0,,60.32,58.95,59.68,60.03,245249.0,-1.0,56.6,55.28,56.1,56.34,47450.0,-1.0,27.04,26.07,26.51,26.25,16622.0,-1.0
2019-08-21,48.5,47.9,47.9,48.15,-1.0,,17.45,17.33,17.45,17.33,-1.0,,61.41,60.07,60.11,60.3,269681.0,-1.0,57.13,55.55,56.05,55.68,704035.0,-1.0,26.72,25.99,26.15,26.02,18212.0,-1.0
2019-08-22,48.15,47.5,47.45,47.75,-1.0,,17.38,17.25,17.38,17.3,-1.0,,60.89,59.47,60.43,59.92,276113.0,-1.0,56.46,54.85,55.94,55.35,621573.0,-1.0,26.45,25.58,26.01,25.66,25125.0,-1.0
2019-08-23,47.45,46.95,46.85,47.35,-1.0,,17.27,17.05,17.23,17.08,-1.0,,60.29,58.3,60.11,59.34,321242.0,-1.0,55.6,53.24,55.35,54.17,807151.0,-1.0,25.69,24.81,25.58,25.1,23774.0,-1.0
2019-08-26,47.55,47.55,46.85,46.95,-1.0,,17.1,17.1,17.1,17.1,-1.0,,60.17,58.24,58.35,58.7,183297.0,-1.0,55.26,52.96,53.25,53.64,679022.0,-1.0,25.91,24.96,25.14,25.83,10363.0,-1.0
2019-08-27,47.35,46.9,45.55,47.35,-1.0,,16.98,16.85,16.92,16.85,-1.0,,60.17,58.51,58.8,59.51,218373.0,-1.0,55.72,53.69,53.76,54.93,596624.0,-1.0,25.89,25.24,25.77,25.41,16180.0,-1.0
2019-08-28,47.6,46.75,46.65,47.0,-1.0,,17.0,16.87,16.98,16.88,-1.0,,61.0,59.8,60.04,60.49,134262.0,-1.0,56.75,55.34,55.71,55.78,674048.0,-1.0,26.21,25.35,25.5,26.01,26134.0,-1.0
2019-08-29,48.1,48.05,46.75,46.75,-1.0,,17.05,16.9,16.9,17.05,-1.0,,61.19,59.98,60.48,61.08,131090.0,-1.0,56.89,55.43,55.88,56.71,630760.0,-1.0,26.52,25.75,26.2,26.46,39435.0,-1.0
2019-08-30,48.55,47.55,47.55,48.15,-1.0,,17.27,17.0,17.0,17.05,-1.0,,61.17,60.25,60.98,60.43,25136.0,-1.0,56.72,54.55,56.63,55.1,708268.0,-1.0,26.97,26.11,26.6,26.32,21097.0,-1.0
2019-09-02,47.4,46.8,46.5,47.35,-1.0,,16.77,16.58,16.7,16.65,-1.0,,59.26,58.1,58.8,58.66,121642.0,-1.0,,,,,,,26.24,24.9,26.16,25.19,26276.0,-1.0
2019-09-03,46.95,46.9,46.35,46.6,-1.0,,16.65,16.55,16.55,16.65,-1.0,,58.87,57.23,58.54,58.26,265120.0,-1.0,55.24,52.84,55.0,53.94,970804.0,-1.0,25.34,24.67,25.16,25.23,32718.0,-1.0
2019-09-04,47.7,46.95,46.9,47.4,-1.0,,16.8,16.63,16.8,16.7,-1.0,,60.96,58.13,58.17,60.7,283104.0,-1.0,56.58,53.84,53.92,56.26,682298.0,-1.0,25.99,25.4,25.41,25.52,24754.0,-1.0
2019-09-05,47.95,47.85,46.8,47.15,-1.0,,17.05,16.55,16.55,17.05,-1.0,,62.4,60.25,60.49,60.95,292058.0,-1.0,57.76,55.75,55.95,56.3,712466.0,-1.0,25.84,25.3,25.7,25.53,25338.0,-1.0
2019-09-06,48.25,47.7,47.05,47.95,-1.0,,17.05,16.9,16.98,17.05,-1.0,,61.88,59.4,60.81,61.54,287357.0,-1.0,56.95,54.83,56.19,56.52,714294.0,-1.0,25.74,24.85,25.51,25.08,22838.0,-1.0
2019-09-09,48.2,47.65,47.55,47.9,-1.0,,17.3,17.13,17.15,17.17,-1.0,,63.0,61.57,61.6,62.59,249708.0,-1.0,58.16,56.58,56.8,57.85,646993.0,-1.0,25.42,24.9,24.94,25.02,24159.0,-1.0
2019-09-10,51.1,50.5,47.6,47.6,-1.0,,18.65,17.3,17.3,18.6,-1.0,,63.78,62.17,62.82,62.38,267549.0,-1.0,58.76,57.2,58.03,57.4,755472.0,-1.0,26.93,24.9,25.03,26.72,44946.0,-1.0
2019-09-11,51.25,50.2,49.3,50.5,-1.0,,18.83,17.9,18.7,18.5,-1.0,,63.27,60.52,62.88,60.81,315118.0,-1.0,58.3,55.61,57.89,55.75,858772.0,-1.0,27.35,26.12,26.86,26.27,41087.0,-1.0
2019-09-12,50.65,49.85,49.5,49.95,-1.0,,18.45,17.9,18.3,18.0,-1.0,,61.39,58.92,61.16,60.38,358089.0,-1.0,56.34,54.0,55.93,55.09,845977.0,-1.0,26.9,26.16,26.2,26.43,23730.0,-1.0
2019-09-13,50.6,49.65,49.6,50.15,-1.0,,18.45,18.0,18.23,18.05,-1.0,,60.81,59.6,60.45,60.22,195827.0,-1.0,55.68,54.44,55.15,54.85,599470.0,-1.0,26.81,26.17,26.43,26.38,22876.0,-1.0
2019-09-16,51.85,51.7,50.55,51.25,-1.0,,19.3,18.5,18.55,18.67,-1.0,,71.95,64.75,66.45,69.02,735539.0,-1.0,63.38,58.77,61.48,62.9,1404916.0,-1.0,27.25,26.56,26.83,27.04,17550.0,-1.0
2019-09-17,51.9,50.2,50.1,51.8,-1.0,,19.13,18.25,18.98,18.4,-1.0,,69.26,63.55,68.15,64.55,620494.0,-1.0,62.59,58.46,61.96,59.34,993237.0,-1.0,27.12,25.96,26.95,26.22,21747.0,-1.0
2019-09-18,50.5,49.2,49.0,49.9,-1.0,,18.35,18.02,18.02,18.08,-1.0,,64.99,63.04,64.23,63.6,295047.0,-1.0,59.43,57.67,58.81,58.11,216961.0,-1.0,26.27,25.21,26.2,25.45,23945.0,-1.0
2019-09-19,50.15,49.5,49.15,49.2,-1.0,,18.67,18.25,18.55,18.45,-1.0,,65.57,63.46,63.51,64.4,258848.0,-1.0,59.54,58.01,58.2,58.13,112327.0,-1.0,26.07,25.16,25.35,25.95,21820.0,-1.0
2019-09-20,50.75,50.5,49.95,49.95,-1.0,,18.65,18.5,18.58,18.6,-1.0,,65.28,64.05,65.0,64.28,224881.0,-1.0,59.1,57.79,58.65,58.09,37979.0,-1.0,26.76,26.0,26.0,26.53,24222.0,-1.0
2019-09-23,50.4,49.4,49.35,50.4,-1.0,,18.48,18.33,18.4,18.35,-1.0,,65.5,63.53,65.23,64.77,204777.0,-1.0,59.39,57.37,59.25,58.64,526785.0,-1.0,26.68,25.59,26.51,25.8,17532.0,-1.0
2019-09-24,49.55,48.9,48.9,49.2,-1.0,,18.42,18.23,18.35,18.23,-1.0,,64.6,62.3,64.4,63.1,216276.0,-1.0,58.49,56.69,58.44,57.29,591529.0,-1.0,25.98,25.5,25.89,25.54,17960.0,-1.0
2019-09-25,48.65,48.2,48.1,48.6,-1.0,,17.98,17.9,17.98,17.92,-1.0,,62.81,61.23,62.44,62.39,201466.0,-1.0,57.02,55.55,56.7,56.49,563550.0,-1.0,25.6,25.07,25.59,25.21,22360.0,-1.0
2019-09-26,48.75,48.6,48.15,48.5,-1.0,,18.25,17.95,17.95,18.1,-1.0,,62.92,61.45,62.58,62.74,115573.0,-1.0,56.84,55.41,56.69,56.41,599653.0,-1.0,25.73,25.11,25.21,25.64,17176.0,-1.0
2019-09-27,48.65,48.0,47.75,48.55,-1.0,,18.25,17.85,18.25,18.0,-1.0,,62.75,60.76,62.48,61.91,97328.0,-1.0,56.76,54.75,56.51,55.91,712966.0,-1.0,25.72,24.93,25.64,25.3,16800.0,-1.0
2019-09-30,48.1,47.4,47.4,48.1,-1.0,,18.15,17.95,18.02,17.98,-1.0,,62.24,60.73,62.24,60.78,22010.0,-1.0,56.57,53.98,56.54,54.07,532522.0,-1.0,25.49,24.6,25.46,24.72,19066.0,-1.0
2019-10-01,48.3,48.0,46.9,47.2,-1.0,,18.1,17.83,17.85,17.9,-1.0,,60.1,58.41,59.38,58.89,291672.0,-1.0,54.84,53.05,54.28,53.62,589176.0,-1.0,25.18,24.3,24.67,25.04,23723.0,-1.0
2019-10-02,48.0,47.0,46.85,48.0,-1.0,,17.83,17.4,17.83,17.4,-1.0,,59.5,57.22,59.25,57.69,307905.0,-1.0,54.42,52.17,54.0,52.64,590306.0,-1.0,25.14,24.15,25.09,24.19,20121.0,-1.0
2019-10-03,47.1,46.3,45.95,46.7,-1.0,,17.55,17.2,17.55,17.38,-1.0,,57.99,56.15,57.54,57.71,336903.0,-1.0,52.91,50.99,52.47,52.45,642466.0,-1.0,24.37,23.02,24.21,23.24,41373.0,-1.0
2019-10-04,46.75,46.4,46.1,46.35,-1.0,,17.6,17.33,17.6,17.33,-1.0,,58.96,57.67,57.69,58.37,299922.0,-1.0,53.35,52.04,52.29,52.81,541104.0,-1.0,23.6,22.85,23.18,22.94,21851.0,-1.0
2019-10-07,46.65,46.5,45.65,46.0,-1.0,,17.25,16.98,16.98,17.25,-1.0,,59.68,58.02,58.02,58.35,228408.0,-1.0,54.06,52.59,52.69,52.75,549019.0,-1.0,23.46,22.78,22.87,23.41,20056.0,-1.0
2019-10-08,46.9,46.25,46.2,46.85,-1.0,,17.45,17.23,17.3,17.35,-1.0,,58.92,57.38,58.47,58.24,274743.0,-1.0,53.27,51.81,52.81,52.63,658324.0,-1.0,23.6,22.42,23.5,22.53,25764.0,-1.0
2019-10-09,46.8,46.75,46.0,46.05,-1.0,,17.7,17.13,17.15,17.7,-1.0,,59.35,57.91,58.02,58.32,266484.0,-1.0,53.74,52.31,52.57,52.59,632666.0,-1.0,22.77,22.03,22.44,22.65,30125.0,-1.0
2019-10-10,47.4,47.15,46.6,46.75,-1.0,,17.7,17.4,17.5,17.7,-1.0,,59.6,57.8,58.04,59.1,262531.0,-1.0,53.97,51.38,52.69,53.55,613944.0,-1.0,23.4,22.46,22.81,23.26,25627.0,-1.0
2019-10-11,48.25,48.25,47.65,48.0,-1.0,,18.05,17.83,18.0,18.05,-1.0,,60.69,59.21,59.53,60.51,367632.0,-1.0,54.93,53.64,53.88,54.7,741704.0,-1.0,24.53,23.5,23.5,24.44,32416.0,-1.0
2019-10-14,48.2,48.0,47.65,47.85,-1.0,,18.0,17.83,17.9,17.83,-1.0,,60.73,58.5,60.69,59.35,283065.0,-1.0,54.9,52.77,54.9,53.59,467643.0,-1.0,24.34,23.51,24.34,24.15,15874.0,-1.0
2019-10-15,48.65,48.65,47.9,48.35,-1.0,,18.02,17.8,17.92,17.85,-1.0,,59.68,58.0,59.3,58.74,305682.0,-1.0,53.79,52.39,53.51,52.81,511249.0,-1.0,25.83,24.05,24.06,25.71,26589.0,-1.0
2019-10-16,48.8,48.65,48.1,48.5,-1.0,,17.85,17.73,17.73,17.83,-1.0,,59.75,58.36,58.9,59.42,257875.0,-1.0,53.74,52.51,52.92,53.36,451643.0,-1.0,26.45,25.14,25.73,26.3,28567.0,-1.0
2019-10-17,48.6,48.35,47.95,48.25,-1.0,,17.65,17.55,17.65,17.58,-1.0,,60.04,58.69,58.99,59.91,269842.0,-1.0,54.16,52.62,52.99,53.93,418422.0,-1.0,26.47,25.48,26.02,26.06,29377.0,-1.0
2019-10-18,48.4,48.3,48.0,48.2,-1.0,,17.63,17.48,17.55,17.5,-1.0,,60.29,59.01,59.78,59.42,228144.0,-1.0,54.62,53.35,54.09,53.78,174477.0,-1.0,26.2,25.31,26.2,25.88,15519.0,-1.0
2019-10-21,49.05,48.05,48.0,48.2,-1.0,,17.7,17.23,17.7,17.27,-1.0,,59.55,58.26,59.23,58.96,212574.0,-1.0,54.03,52.71,53.71,53.31,95979.0,-1.0,26.29,25.38,25.7,25.93,12661.0,-1.0
2019-10-22,48.25,47.4,47.35,48.25,-1.0,,17.25,17.08,17.25,17.13,-1.0,,60.26,58.75,59.05,59.7,260598.0,-1.0,54.62,53.1,53.39,54.16,33916.0,-1.0,26.09,25.56,25.88,25.66,16468.0,-1.0
2019-10-23,47.25,46.75,46.7,47.0,-1.0,,17.08,16.83,17.05,16.98,-1.0,,61.3,58.85,59.48,61.17,313229.0,-1.0,56.07,53.62,54.3,55.97,620202.0,-1.0,25.44,24.7,25.39,24.75,22863.0,-1.0
2019-10-24,47.4,47.35,46.35,46.6,-1.0,,17.15,16.7,16.8,17.15,-1.0,,61.9,60.64,60.99,61.67,215542.0,-1.0,56.51,55.41,55.9,56.23,480764.0,-1.0,25.56,24.3,24.7,25.44,17748.0,-1.0
2019-10-25,47.2,46.75,46.6,47.1,-1.0,,16.98,15.93,16.95,16.85,-1.0,,62.11,60.93,61.5,62.02,204446.0,-1.0,56.74,55.6,56.07,56.66,445020.0,-1.0,25.4,24.82,25.39,24.97,17008.0,-1.0
2019-10-28,46.6,46.5,46.2,46.3,-1.0,,16.75,16.63,16.65,16.7,-1.0,,62.34,61.19,62.04,61.57,167855.0,-1.0,56.92,55.58,56.65,55.81,437020.0,-1.0,25.17,24.61,24.8,25.12,14248.0,-1.0
2019-10-29,46.9,46.55,46.55,46.8,-1.0,,16.8,16.58,16.8,16.63,-1.0,,61.98,60.66,61.61,61.59,136930.0,-1.0,55.91,54.61,55.8,55.54,521457.0,-1.0,25.87,25.15,25.15,25.45,23710.0,-1.0
2019-10-30,47.25,46.85,46.4,46.4,-1.0,,16.77,16.2,16.73,16.23,-1.0,,61.93,60.45,61.6,60.61,105869.0,-1.0,55.73,54.42,55.53,55.06,659328.0,-1.0,26.05,25.36,25.36,26.0,19644.0,-1.0
2019-10-31,47.2,46.45,46.2,47.1,-1.0,,16.5,16.33,16.35,16.43,-1.0,,61.13,60.07,60.57,60.23,13898.0,-1.0,55.59,53.71,54.9,54.18,677419.0,-1.0,26.27,25.54,26.1,25.61,16789.0,-1.0
2019-11-01,46.9,46.45,46.3,46.6,-1.0,,16.6,16.5,16.5,16.6,-1.0,,61.82,59.4,59.45,61.69,236093.0,-1.0,56.33,54.07,54.15,56.2,538117.0,-1.0,26.03,24.92,25.73,25.29,16317.0,-1.0
2019-11-04,46.6,46.6,45.85,46.35,-1.0,,16.9,16.5,16.52,16.9,-1.0,,62.78,61.28,61.8,62.13,235379.0,-1.0,57.43,55.83,56.41,56.54,580350.0,-1.0,25.74,24.9,25.33,25.63,17787.0,-1.0
2019-11-05,47.1,46.92,46.55,46.65,-1.0,,17.13,16.88,17.13,17.0,-1.0,,63.19,61.85,62.04,62.96,231665.0,-1.0,57.5,56.3,56.56,57.23,435319.0,-1.0,25.97,25.36,25.68,25.51,16967.0,-1.0
2019-11-06,46.65,46.15,46.1,46.6,-1.0,,16.8,16.6,16.75,16.7,-1.0,,63.32,61.59,62.78,61.74,275935.0,-1.0,57.85,56.11,57.26,56.35,623258.0,-1.0,25.53,24.75,25.5,24.79,20199.0,-1.0
2019-11-07,46.4,46.1,45.95,46.1,-1.0,,16.63,16.48,16.63,16.5,-1.0,,62.89,61.65,61.73,62.29,261072.0,-1.0,57.88,56.27,56.35,57.15,678165.0,-1.0,25.3,24.72,24.77,24.94,14741.0,-1.0
2019-11-08,46.12,45.9,45.8,46.1,-1.0,,16.5,16.23,16.5,16.3,-1.0,,62.7,60.66,62.29,62.51,287672.0,-1.0,57.48,55.76,57.08,57.24,636941.0,-1.0,25.06,24.56,24.89,24.84,17924.0,-1.0
2019-11-11,46.35,45.75,45.6,46.25,-1.0,,16.27,16.2,16.27,16.23,-1.0,,62.76,61.57,62.6,62.18,213342.0,-1.0,57.4,56.25,57.4,56.86,498981.0,-1.0,25.38,24.84,24.88,24.93,15801.0,-1.0
2019-11-12,46.0,45.3,45.05,46.0,-1.0,,16.13,16.0,16.05,16.0,-1.0,,62.85,61.82,62.11,62.06,238171.0,-1.0,57.55,56.54,56.89,56.8,586568.0,-1.0,25.43,23.85,25.07,24.12,31881.0,-1.0
