Date,CLOSE,HIGH,LOW,OPEN,COUNT
2016-01-01,1.0858,1.0867,1.0843,1.086,240.0
2016-01-04,1.0829,1.0946,1.078,1.0856,56207.0
2016-01-05,1.0746,1.0838,1.0709,1.0829,49003.0
2016-01-06,1.0778,1.0799,1.0718,1.0746,52604.0
2016-01-07,1.0934,1.094,1.0769,1.0778,65124.0
2016-01-08,1.0929,1.0933,1.0801,1.0931,59569.0
2016-01-11,1.0859,1.0968,1.0846,1.0922,51543.0
2016-01-12,1.0854,1.09,1.0818,1.0856,54338.0
2016-01-13,1.0873,1.0887,1.0803,1.0854,54739.0
2016-01-14,1.0864,1.0944,1.0833,1.0878,55173.0
2016-01-15,1.0914,1.0984,1.0852,1.0863,59428.0
2016-01-18,1.089,1.0938,1.0867,1.0916,43010.0
2016-01-19,1.0905,1.0938,1.0858,1.0889,54742.0
2016-01-20,1.0889,1.0975,1.0875,1.0908,66999.0
2016-01-21,1.0872,1.092,1.0777,1.0891,58711.0
2016-01-22,1.0794,1.0876,1.0787,1.0871,46555.0
2016-01-25,1.0847,1.0856,1.0786,1.0797,61491.0
2016-01-26,1.0869,1.0873,1.0817,1.0847,64237.0
2016-01-27,1.0891,1.0915,1.0849,1.0869,68641.0
2016-01-28,1.0937,1.0967,1.0867,1.0889,68385.0
2016-01-29,1.0834,1.0948,1.0809,1.0936,73130.0
2016-02-01,1.0886,1.0912,1.0812,1.0831,55513.0
2016-02-02,1.0916,1.094,1.0882,1.0888,64256.0
2016-02-03,1.1103,1.1145,1.0902,1.0916,79344.0
2016-02-04,1.1206,1.1238,1.1068,1.1102,82090.0
2016-02-05,1.1156,1.1243,1.1107,1.1206,78329.0
2016-02-08,1.1195,1.1215,1.1084,1.1156,73117.0
2016-02-09,1.1291,1.1337,1.1161,1.1195,88585.0
2016-02-10,1.1289,1.131,1.1158,1.1291,88981.0
2016-02-11,1.1321,1.1375,1.1271,1.1289,88732.0
2016-02-12,1.1258,1.1332,1.1212,1.1325,72607.0
2016-02-15,1.1153,1.1251,1.1125,1.1249,61453.0
2016-02-16,1.1141,1.1193,1.112,1.1152,81698.0
2016-02-17,1.1127,1.1179,1.1103,1.1142,78262.0
2016-02-18,1.1103,1.1149,1.1068,1.1126,74590.0
2016-02-19,1.1132,1.1138,1.1064,1.1105,75879.0
2016-02-22,1.1026,1.1134,1.1,1.1125,72449.0
2016-02-23,1.1017,1.1051,1.0987,1.1027,80310.0
2016-02-24,1.1011,1.1045,1.0955,1.1017,81342.0
2016-02-25,1.1021,1.1049,1.0985,1.1011,77878.0
2016-02-26,1.0931,1.1068,1.091,1.1017,66332.0
2016-02-29,1.0871,1.0962,1.0856,1.093,66091.0
2016-03-01,1.0864,1.0893,1.0832,1.087,75505.0
2016-03-02,1.0866,1.0879,1.0823,1.0866,73471.0
2016-03-03,1.0955,1.0972,1.0851,1.0865,75165.0
2016-03-04,1.1001,1.1042,1.09,1.0955,74630.0
2016-03-07,1.1012,1.1025,1.0938,1.1006,63316.0
2016-03-08,1.1009,1.1057,1.099,1.1012,68920.0
2016-03-09,1.0997,1.1035,1.0944,1.101,71863.0
2016-03-10,1.1176,1.1217,1.082,1.0997,80094.0
2016-03-11,1.115,1.1209,1.1078,1.1174,75603.0
2016-03-14,1.1104,1.1175,1.1074,1.1149,68536.0
2016-03-15,1.1108,1.1124,1.107,1.1099,74571.0
2016-03-16,1.1222,1.1242,1.1055,1.1107,76247.0
2016-03-17,1.1317,1.1342,1.1203,1.1222,85258.0
2016-03-18,1.1267,1.1336,1.1254,1.1316,81248.0
2016-03-21,1.1239,1.1284,1.1233,1.1268,60436.0
2016-03-22,1.1214,1.126,1.1187,1.1242,68664.0
2016-03-23,1.1183,1.1223,1.1157,1.1217,51053.0
2016-03-24,1.1173,1.1187,1.1142,1.1178,65119.0
2016-03-25,1.1163,1.1186,1.115,1.1173,30093.0
2016-03-28,1.1193,1.1218,1.1151,1.1161,33449.0
2016-03-29,1.1289,1.1303,1.1166,1.1196,75140.0
2016-03-30,1.1336,1.1364,1.1279,1.1288,82139.0
2016-03-31,1.1378,1.1411,1.1307,1.1336,85653.0
2016-04-01,1.1386,1.1437,1.1332,1.1378,83773.0
2016-04-04,1.139,1.1412,1.1355,1.1391,65978.0
2016-04-05,1.1382,1.1404,1.1334,1.1387,76410.0
2016-04-06,1.1397,1.1432,1.1325,1.1382,76595.0
2016-04-07,1.1375,1.1453,1.1335,1.1396,78128.0
2016-04-08,1.1399,1.1419,1.1347,1.1376,72926.0
2016-04-11,1.1406,1.1446,1.1371,1.1405,58571.0
2016-04-12,1.1384,1.1464,1.1345,1.1406,74507.0
2016-04-13,1.1272,1.1391,1.1264,1.1383,78539.0
2016-04-14,1.1266,1.1294,1.1232,1.1272,78514.0
2016-04-15,1.128,1.1317,1.1243,1.1268,72944.0
2016-04-18,1.1312,1.1332,1.1272,1.1295,71348.0
2016-04-19,1.1356,1.1385,1.13,1.1312,74864.0
2016-04-20,1.1295,1.1386,1.1286,1.1354,77689.0
2016-04-21,1.1286,1.1394,1.127,1.1295,79482.0
2016-04-22,1.123,1.1308,1.1216,1.1287,78504.0
2016-04-25,1.1263,1.1277,1.1213,1.1228,74144.0
2016-04-26,1.1298,1.1338,1.1254,1.1264,87187.0
2016-04-27,1.1319,1.1361,1.1271,1.1295,89890.0
2016-04-28,1.1351,1.1368,1.1294,1.1318,90800.0
2016-04-29,1.1454,1.1459,1.1333,1.1352,88418.0
2016-05-02,1.1529,1.1536,1.1443,1.1444,56216.0
2016-05-03,1.1495,1.1614,1.1493,1.1531,73548.0
2016-05-04,1.1485,1.1528,1.1465,1.1494,83994.0
2016-05-05,1.1404,1.1495,1.1384,1.1485,68167.0
2016-05-06,1.1402,1.1476,1.1384,1.1405,69773.0
2016-05-09,1.1381,1.142,1.1373,1.1399,64001.0
2016-05-10,1.1368,1.1409,1.1357,1.1381,67576.0
2016-05-11,1.1425,1.1446,1.1366,1.1371,67739.0
2016-05-12,1.1375,1.1432,1.1366,1.1424,70614.0
2016-05-13,1.1305,1.138,1.1281,1.1375,74349.0
2016-05-16,1.1316,1.1342,1.1299,1.1307,56104.0
2016-05-17,1.1311,1.1347,1.13,1.1318,67698.0
2016-05-18,1.1215,1.1325,1.121,1.1311,72676.0
2016-05-19,1.1202,1.1229,1.1178,1.1215,71582.0
2016-05-20,1.1222,1.1237,1.1192,1.1202,60652.0
2016-05-23,1.1216,1.1243,1.1184,1.1215,60964.0
2016-05-24,1.114,1.1227,1.1129,1.1218,71759.0
2016-05-25,1.1153,1.1167,1.1126,1.1139,69596.0
2016-05-26,1.1192,1.1216,1.1142,1.1152,68030.0
2016-05-27,1.1114,1.12,1.1106,1.1192,67362.0
2016-05-30,1.1144,1.1146,1.1096,1.1114,45330.0
2016-05-31,1.1129,1.1173,1.112,1.1135,85931.0
2016-06-01,1.1185,1.1195,1.1111,1.113,93741.0
2016-06-02,1.1149,1.1219,1.114,1.1187,94307.0
2016-06-03,1.1365,1.1375,1.1134,1.115,84571.0
2016-06-06,1.1351,1.1392,1.1325,1.1349,72594.0
2016-06-07,1.1356,1.138,1.1336,1.1353,68521.0
2016-06-08,1.1392,1.141,1.1347,1.1356,70023.0
2016-06-09,1.1314,1.1415,1.1303,1.1397,75464.0
2016-06-10,1.1249,1.1327,1.1243,1.1315,79089.0
2016-06-13,1.129,1.1302,1.1231,1.1251,70580.0
2016-06-14,1.1206,1.1302,1.1186,1.1291,77614.0
2016-06-15,1.1257,1.1297,1.1188,1.1203,78253.0
2016-06-16,1.1223,1.1295,1.1129,1.1257,86796.0
2016-06-17,1.1274,1.1296,1.1218,1.1223,75577.0
2016-06-20,1.131,1.1382,1.128,1.1281,88802.0
2016-06-21,1.124,1.1349,1.1239,1.131,91899.0
2016-06-22,1.1295,1.1337,1.1234,1.124,94934.0
2016-06-23,1.1385,1.1421,1.1293,1.1294,96246.0
2016-06-24,1.1115,1.1432,1.0909,1.139,122884.0
2016-06-27,1.1022,1.1083,1.0968,1.1068,139361.0
2016-06-28,1.1065,1.111,1.1006,1.1024,138622.0
2016-06-29,1.1123,1.1129,1.1046,1.1063,142998.0
2016-06-30,1.1104,1.1155,1.1022,1.1123,139984.0
2016-07-01,1.1135,1.1168,1.1069,1.1103,127354.0
2016-07-04,1.1154,1.1164,1.1095,1.114,50330.0
2016-07-05,1.1075,1.1183,1.1058,1.1153,71885.0
2016-07-06,1.1099,1.1111,1.1029,1.1074,80011.0
2016-07-07,1.1059,1.1109,1.1049,1.1097,78551.0
2016-07-08,1.1052,1.1112,1.0999,1.106,73953.0
2016-07-11,1.1056,1.1074,1.1014,1.105,65780.0
2016-07-12,1.1057,1.1125,1.1048,1.1056,71314.0
2016-07-13,1.1088,1.1119,1.1041,1.1059,76635.0
2016-07-14,1.1118,1.1164,1.1083,1.1087,88235.0
2016-07-15,1.1034,1.1148,1.1021,1.1116,74862.0
2016-07-18,1.1071,1.1083,1.1035,1.104,61474.0
2016-07-19,1.1021,1.1085,1.0998,1.1072,69726.0
2016-07-20,1.1013,1.103,1.0979,1.1018,75603.0
